,Quarter,County,Price_count,Price_min,Price_mean,Price_max,Price_median,Price_25p,Price_75p,Price_90p,immigrants,private_households,persons_private_households,household_values,investment_country,gdp_growth,gdp_growth_based,gdp_values,population,infliation,infliation_based,unemployment,unemployment_based
23,2010-Q1,Westmeath,71,18750,171976.1971830986,465000,158000.0,113750.0,196500.0,301500.0,41800.0,30739,84869,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
24,2010-Q1,Wexford,149,25000,193780.93959731545,1500000,170000.0,122727.0,225000.0,290149.60000000003,41800.0,52652,144349,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
25,2010-Q1,Wicklow,127,7500,302954.1811023622,1395000,265000.0,196500.0,346750.0,479000.00000000006,41800.0,47798,135259,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
26,2010-Q2,Carlow,44,20000,179575.79545454544,545000,170750.0,129250.0,220000.0,280000.0,41800.0,19436,54187,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
27,2010-Q2,Cavan,70,30000,146722.15714285715,360000,131916.0,104206.5,176604.5,235000.00000000006,41800.0,25818,72625,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
28,2010-Q2,Clare,112,9523,172246.10714285713,705000,162810.0,115750.0,204400.0,265000.0,41800.0,42648,115587,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
29,2010-Q2,Cork,549,6348,228769.50819672132,1525000,210000.0,150000.0,275000.0,350999.99999999994,41800.0,188019,512300,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
30,2010-Q2,Donegal,153,6985,150964.86928104574,500500,140000.0,100000.0,180000.0,234696.00000000003,41800.0,57964,159139,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
31,2010-Q2,Dublin,1809,6000,351568.78275290213,7729048,270000.0,206000.0,370000.0,536600.0000000001,41800.0,90019,263723,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
32,2010-Q2,Galway,223,10000,220717.08968609865,825000,198000.0,150000.0,263662.5,350000.0000000001,41800.0,27726,70918,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
33,2010-Q2,Kerry,152,6000,205168.02631578947,581500,182500.0,130369.25,255125.0,334800.0,41800.0,53306,140975,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
34,2010-Q2,Kildare,262,35770,237564.45419847328,945000,223029.5,168070.25,284375.0,367250.0,41800.0,70763,208522,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
35,2010-Q2,Kilkenny,95,30000,200949.14736842105,730000,175500.0,129997.5,249500.0,329800.00000000006,41800.0,33679,94342,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
36,2010-Q2,Laois,75,10000,174479.54666666666,565200,165000.0,126500.0,209875.0,244000.00000000003,41800.0,28020,79751,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
37,2010-Q2,Leitrim,38,45000,132496.42105263157,349965,127500.0,80000.0,170897.5,201682.4000000001,41800.0,12308,31556,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
38,2010-Q2,Limerick,198,6829,182556.30303030304,610000,178750.0,120837.0,222250.0,290000.0,41800.0,69649,187560,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
39,2010-Q2,Longford,40,20000,132667.725,350000,126651.0,69750.0,155000.0,275000.0,41800.0,14453,38986,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
40,2010-Q2,Louth,112,25000,182319.17857142858,422000,173403.0,130957.75,229962.5,271727.50000000006,41800.0,43972,122339,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
41,2010-Q2,Mayo,99,33900,158336.8383838384,420000,152500.0,119750.0,190375.0,238000.00000000003,41800.0,48070,128492,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
42,2010-Q2,Meath,210,28725,243811.4380952381,810000,217000.0,161250.0,292943.75,381499.99999999994,41800.0,62201,184336,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
43,2010-Q2,Monaghan,61,25000,140913.80327868852,345000,140000.0,110132.0,156000.0,230000.0,41800.0,21264,60473,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
44,2010-Q2,Offaly,66,34500,172493.31818181818,830000,143525.5,117537.0,190437.5,282500.0,41800.0,26750,76274,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
45,2010-Q2,Roscommon,68,13000,131325.36764705883,480000,115360.0,80000.0,180000.0,217000.00000000017,41800.0,23672,63311,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
46,2010-Q2,Sligo,87,15000,156582.5172413793,590000,123333.0,102703.0,198750.0,277000.0,41800.0,24525,63667,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
47,2010-Q2,Tipperary,126,59000,168286.85714285713,470000,152500.0,113500.0,210000.0,262750.0,41800.0,58497,158089,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
48,2010-Q2,Waterford,98,18500,173879.45918367346,460000,172300.5,94250.0,224917.25,278250.0,41800.0,42335,112261,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
49,2010-Q2,Westmeath,97,26325,161340.60824742267,470000,149950.0,111000.0,200000.0,255500.0,41800.0,30739,84869,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
50,2010-Q2,Wexford,165,10000,176262.87272727274,650000,164800.0,120000.0,215000.0,283806.39999999997,41800.0,52652,144349,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
